timestamp,instrument,sector,mode,provider,model,temperature,execution_time,overall_score,grade,structure,data_richness,sophistication,actionability,sentiment_balance
2026-05-23T22:31:01.403775,KO,Consumer Staples,sequential,openai,gpt-4.1,0.2,101.19,88.67,B,100.0,100,70.4,85.0,75.9
2026-05-23T22:32:53.927177,KO,Consumer Staples,sequential,openai,gpt-4.1,0.2,80.03,85.35,B,100.0,88.0,75.4,85.0,62.7
2026-05-23T22:34:25.289938,KO,Consumer Staples,sequential,openai,gpt-4.1,0.2,92.71,81.9,B,100.0,92.0,74.5,70.0,50.0
2026-05-23T22:36:09.584219,KO,Consumer Staples,sequential,openai,gpt-4.1,0.2,120.12,84.12,B,80.0,100,70.6,100.0,50.0
2026-05-23T22:38:21.540305,KO,Consumer Staples,sequential,openai,gpt-4.1,0.2,68.44,87.51,B,100.0,100,70.7,85.0,63.6
2026-05-23T22:40:01.301709,CAT,Industrials,sequential,openai,gpt-4.1,0.2,109.58,89.75,B,100.0,100,76.5,100.0,44.4
2026-05-23T22:42:02.204991,CAT,Industrials,sequential,openai,gpt-4.1,0.2,73.78,85.65,B,80.0,100,78.3,100.0,50.0
2026-05-23T22:43:27.315360,CAT,Industrials,sequential,openai,gpt-4.1,0.2,71.24,88.7,B,100.0,100,75.3,100.0,36.4
2026-05-23T22:44:50.389411,CAT,Industrials,sequential,openai,gpt-4.1,0.2,72.45,90.9,A,100.0,100,76.8,100.0,55.4
2026-05-23T22:46:14.680760,CAT,Industrials,sequential,openai,gpt-4.1,0.2,72.38,84.51,B,80.0,100,74.9,100.0,45.2
2026-05-23T23:04:56.643634,AAPL,Technology,group_chat,openai,gpt-4.1,0.2,159.77,89.61,B,96.0,100,67.0,100.0,72.1
2026-05-23T23:08:01.668860,AAPL,Technology,group_chat,openai,gpt-4.1,0.2,168.84,91.52,A,96.0,100,70.7,100.0,83.9
2026-05-23T23:11:12.636770,AAPL,Technology,group_chat,openai,gpt-4.1,0.2,237.16,83.77,B,74.7,100,71.0,100.0,59.1
2026-05-23T23:15:31.906369,AAPL,Technology,group_chat,openai,gpt-4.1,0.2,1005.93,92.29,A,100.0,100,76.1,100.0,70.8
2026-05-23T23:32:39.969462,AAPL,Technology,group_chat,openai,gpt-4.1,0.2,151.03,83.29,B,73.3,100,70.3,100.0,59.0
2026-05-23T23:36:13.104696,MSFT,Technology,group_chat,openai,gpt-4.1,0.2,234.51,89.37,B,94.7,93.5,69.8,100.0,83.8
2026-05-23T23:40:30.256439,MSFT,Technology,group_chat,openai,gpt-4.1,0.2,150.59,84.64,B,74.7,100,66.8,100.0,76.0
2026-05-23T23:43:23.471139,MSFT,Technology,group_chat,openai,gpt-4.1,0.2,183.89,89.27,B,100.0,100,67.0,100.0,58.7
2026-05-23T23:46:49.973918,MSFT,Technology,group_chat,openai,gpt-4.1,0.2,215.99,83.13,B,72.0,100,70.3,100.0,60.6
2026-05-23T23:50:48.869751,MSFT,Technology,group_chat,openai,gpt-4.1,0.2,170.88,91.72,A,97.3,100,74.3,100.0,75.3
2026-05-23T23:54:42.405527,JPM,Finance,group_chat,openai,gpt-4.1,0.2,168.03,91.65,A,96.0,100,71.1,100.0,84.2
2026-05-23T23:57:53.089751,JPM,Finance,group_chat,openai,gpt-4.1,0.2,180.1,92.25,A,96.0,100,79.1,100.0,74.2
2026-05-24T00:01:16.096054,JPM,Finance,group_chat,openai,gpt-4.1,0.2,153.26,92.36,A,94.7,100,76.5,100.0,83.9
2026-05-24T00:04:12.020006,JPM,Finance,group_chat,openai,gpt-4.1,0.2,147.96,91.39,A,93.3,96.0,73.8,100.0,93.0
2026-05-24T00:07:04.127990,JPM,Finance,group_chat,openai,gpt-4.1,0.2,146.2,92.43,A,93.3,100,77.2,100.0,86.5
2026-05-24T00:10:32.992769,BAC,Finance,group_chat,openai,gpt-4.1,0.2,158.6,86.85,B,73.3,100,69.4,100.0,96.4
2026-05-24T00:13:35.007983,BAC,Finance,group_chat,openai,gpt-4.1,0.2,419.5,93.84,A,97.3,100,74.5,100.0,96.0
2026-05-24T00:20:57.158293,BAC,Finance,group_chat,openai,gpt-4.1,0.2,157.43,93.26,A,97.3,100,71.0,100.0,97.1
2026-05-24T00:23:58.000305,BAC,Finance,group_chat,openai,gpt-4.1,0.2,146.67,91.13,A,94.7,100,70.1,100.0,84.4
2026-05-24T00:26:47.568585,BAC,Finance,group_chat,openai,gpt-4.1,0.2,144.29,88.9,B,94.7,100,66.0,100.0,70.4
